0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:43:55 +0900] "POST /%EC%95%BD%EA%B5%AD/backup.jsp HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:43:55 +0900] "POST /%EC%95%BD%EA%B5%AD/backup.jsp HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:43:55 +0900] "GET /%EC%95%BD%EA%B5%AD/salesRegistration.jsp HTTP/1.1" 200 98110
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:43:55 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:43:55 +0900] "GET /%EC%95%BD%EA%B5%AD/salesRegistration.jsp HTTP/1.1" 200 98110
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:43:55 +0900] "POST /%EC%95%BD%EA%B5%AD/backup.jsp HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:43:55 +0900] "POST /%EC%95%BD%EA%B5%AD/backup.jsp HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:43:55 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:43:57 +0900] "POST /%EC%95%BD%EA%B5%AD/searchMedicine2.jsp HTTP/1.1" 200 2959
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:43:59 +0900] "GET /%EC%95%BD%EA%B5%AD/addProduct.jsp?medicineName=165165 HTTP/1.1" 200 4010
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:46:10 +0900] "GET /%EC%95%BD%EA%B5%AD/salesRegistration.jsp HTTP/1.1" 200 98110
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:46:10 +0900] "POST /%EC%95%BD%EA%B5%AD/backup.jsp HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:46:10 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:46:10 +0900] "POST /%EC%95%BD%EA%B5%AD/backup.jsp HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:46:11 +0900] "GET /%EC%95%BD%EA%B5%AD/salesRegistration.jsp HTTP/1.1" 200 98110
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:46:11 +0900] "POST /%EC%95%BD%EA%B5%AD/backup.jsp HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:46:11 +0900] "POST /%EC%95%BD%EA%B5%AD/backup.jsp HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:46:11 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:46:13 +0900] "POST /%EC%95%BD%EA%B5%AD/searchMedicine2.jsp HTTP/1.1" 200 5190
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:46:15 +0900] "GET /%EC%95%BD%EA%B5%AD/addProduct.jsp?medicineName=fasdfa HTTP/1.1" 200 4010
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:47:18 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:48:04 +0900] "POST /%EC%95%BD%EA%B5%AD/backup.jsp HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:48:04 +0900] "POST /%EC%95%BD%EA%B5%AD/backup.jsp HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:48:04 +0900] "GET /%EC%95%BD%EA%B5%AD/index.jsp HTTP/1.1" 200 34807
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:48:04 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:48:04 +0900] "GET /%EC%95%BD%EA%B5%AD/getDatas.jsp?page=1 HTTP/1.1" 200 92773
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:48:38 +0900] "GET /%EC%95%BD%EA%B5%AD/salesRegistration.jsp HTTP/1.1" 200 98110
